time,open,high,low,close,Volume,Volume MA,% Return
1874-07-01,4.46,4.46,4.46,4.46,0,0,0.00
1874-09-01,4.54,4.54,4.54,4.54,0,0,1.79
1874-10-01,4.53,4.53,4.53,4.53,0,0,-0.22
1874-12-01,4.54,4.54,4.54,4.54,0,0,0.22
1875-01-01,4.54,4.54,4.54,4.54,0,0,0.00
1875-02-01,4.53,4.53,4.53,4.53,0,0,-0.22
1875-03-01,4.59,4.59,4.59,4.59,0,0,1.32
1875-04-01,4.65,4.65,4.65,4.65,0,0,1.31
1875-06-01,4.38,4.38,4.38,4.38,0,0,-5.81
1875-07-01,4.39,4.39,4.39,4.39,0,0,0.23
1875-09-01,4.37,4.37,4.37,4.37,0,0,-0.46
1875-10-01,4.30,4.30,4.30,4.30,0,0,-1.60
1875-11-01,4.37,4.37,4.37,4.37,0,0,1.63
1875-12-01,4.37,4.37,4.37,4.37,0,0,0.00
1876-02-01,4.52,4.52,4.52,4.52,0,0,3.43
1876-03-01,4.51,4.51,4.51,4.51,0,0,-0.22
1876-05-01,4.18,4.18,4.18,4.18,0,0,-7.32
1876-06-01,4.15,4.15,4.15,4.15,0,0,-0.72
1876-08-01,3.93,3.93,3.93,3.93,0,0,-5.30
1876-09-01,3.69,3.69,3.69,3.69,0,0,-6.11
1876-11-01,3.60,3.60,3.60,3.60,0,0,-2.44
1876-12-01,3.58,3.58,3.58,3.58,0,0,-0.56
1877-01-01,3.55,3.55,3.55,3.55,0,0,-0.84
1877-02-01,3.34,3.34,3.34,3.34,0,0,-5.92
1877-03-01,3.17,3.17,3.17,3.17,0,0,-5.09
1877-05-01,2.94,2.94,2.94,2.94,0,0,-7.26
1877-06-01,2.73,2.73,2.73,2.73,0,0,-7.14
1877-08-01,3.05,3.05,3.05,3.05,0,0,11.72
1877-10-01,3.31,3.31,3.31,3.31,0,0,8.52
1877-11-01,3.26,3.26,3.26,3.26,0,0,-1.51
1878-01-01,3.25,3.25,3.25,3.25,0,0,-0.31
1878-02-01,3.18,3.18,3.18,3.18,0,0,-2.15
1878-03-01,3.24,3.24,3.24,3.24,0,0,1.89
1878-04-01,3.33,3.33,3.33,3.33,0,0,2.78
1878-05-01,3.34,3.34,3.34,3.34,0,0,0.30
1878-07-01,3.48,3.48,3.48,3.48,0,0,4.19
1878-08-01,3.45,3.45,3.45,3.45,0,0,-0.86
1878-10-01,3.48,3.48,3.48,3.48,0,0,0.87
1878-11-01,3.47,3.47,3.47,3.47,0,0,-0.29
1879-01-01,3.58,3.58,3.58,3.58,0,0,3.17
1879-04-01,3.77,3.77,3.77,3.77,0,0,5.31
1879-05-01,3.94,3.94,3.94,3.94,0,0,4.51
1879-07-01,4.04,4.04,4.04,4.04,0,0,2.54
1879-08-01,4.07,4.07,4.07,4.07,0,0,0.74
1879-09-01,4.22,4.22,4.22,4.22,0,0,3.69
1879-10-01,4.68,4.68,4.68,4.68,0,0,10.90
1879-12-01,4.92,4.92,4.92,4.92,0,0,5.13
1880-01-01,5.11,5.11,5.11,5.11,0,0,3.86
1880-03-01,5.30,5.30,5.30,5.30,0,0,3.72
1880-04-01,5.18,5.18,5.18,5.18,0,0,-2.26
1880-06-01,4.79,4.79,4.79,4.79,0,0,-7.53
1880-07-01,5.01,5.01,5.01,5.01,0,0,4.59
1880-09-01,5.18,5.18,5.18,5.18,0,0,3.39
1880-10-01,5.33,5.33,5.33,5.33,0,0,2.90
1880-11-01,5.61,5.61,5.61,5.61,0,0,5.25
1880-12-01,5.84,5.84,5.84,5.84,0,0,4.10
1881-02-01,6.17,6.17,6.17,6.17,0,0,5.65
1881-03-01,6.24,6.24,6.24,6.24,0,0,1.13
1881-04-01,6.22,6.22,6.22,6.22,0,0,-0.32
1881-06-01,6.58,6.58,6.58,6.58,0,0,5.79
1881-07-01,6.35,6.35,6.35,6.35,0,0,-3.50
1881-08-01,6.20,6.20,6.20,6.20,0,0,-2.36
1881-09-01,6.25,6.25,6.25,6.25,0,0,0.81
1881-11-01,6.19,6.19,6.19,6.19,0,0,-0.96
1881-12-01,6.01,6.01,6.01,6.01,0,0,-2.91
1882-02-01,5.79,5.79,5.79,5.79,0,0,-3.66
1882-03-01,5.78,5.78,5.78,5.78,0,0,-0.17
1882-05-01,5.71,5.71,5.71,5.71,0,0,-1.21
1882-06-01,5.68,5.68,5.68,5.68,0,0,-0.53
1882-08-01,6.18,6.18,6.18,6.18,0,0,8.80
1882-09-01,6.24,6.24,6.24,6.24,0,0,0.97
1882-11-01,5.81,5.81,5.81,5.81,0,0,-6.89
1882-12-01,5.84,5.84,5.84,5.84,0,0,0.52
1883-01-01,5.81,5.81,5.81,5.81,0,0,-0.51
1883-02-01,5.68,5.68,5.68,5.68,0,0,-2.24
1883-03-01,5.75,5.75,5.75,5.75,0,0,1.23
1883-05-01,5.77,5.77,5.77,5.77,0,0,0.35
1883-06-01,5.82,5.82,5.82,5.82,0,0,0.87
